epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.939,0.75555,1.12702,0.84949,0.82174,0.883,0.92309,0.80899,0.58613,0.54011,0.82035,0.000414046,0.000414046,0.000414046
2,60.46,0.63241,0.60575,0.82599,0.83185,0.91675,0.93287,0.8266,0.54224,0.46219,0.81404,0.000822489,0.000822489,0.000822489
3,93.7487,0.5904,0.54797,0.81924,0.83633,0.94286,0.94407,0.85281,0.47241,0.43821,0.80787,0.00122268,0.00122268,0.00122268
4,126.245,0.56387,0.51794,0.81448,0.83022,0.91955,0.92318,0.83881,0.46766,0.41957,0.8088,0.00121287,0.00121287,0.00121287
5,162.944,0.53293,0.51206,0.8138,0.83199,0.93601,0.94541,0.86099,0.44772,0.40571,0.80293,0.0012005,0.0012005,0.0012005
6,198.717,0.54312,0.49408,0.81571,0.86883,0.94147,0.95411,0.88183,0.45659,0.40932,0.8088,0.00118812,0.00118812,0.00118812
7,233.162,0.50671,0.46489,0.80958,0.86976,0.9003,0.94793,0.87058,0.44629,0.40357,0.80262,0.00117575,0.00117575,0.00117575
8,265.617,0.50026,0.44741,0.81054,0.85171,0.94842,0.93422,0.85882,0.43647,0.38651,0.80588,0.00116337,0.00116337,0.00116337
9,298.048,0.49064,0.44484,0.80697,0.86093,0.90366,0.92157,0.85625,0.41863,0.39971,0.7994,0.001151,0.001151,0.001151
10,330.371,0.46243,0.43382,0.80414,0.87487,0.91838,0.94513,0.88119,0.39902,0.35553,0.79999,0.00113863,0.00113863,0.00113863
11,363.709,0.46439,0.41902,0.80606,0.88928,0.93552,0.95901,0.91251,0.37619,0.3393,0.79968,0.00112625,0.00112625,0.00112625
12,399.923,0.45159,0.40115,0.80494,0.87652,0.94479,0.95174,0.90054,0.34827,0.32455,0.79702,0.00111388,0.00111388,0.00111388
13,433.909,0.45263,0.41197,0.80289,0.86001,0.95833,0.95337,0.8953,0.3679,0.35619,0.79992,0.0011015,0.0011015,0.0011015
14,467.289,0.43361,0.41282,0.80093,0.85972,0.93904,0.94925,0.91119,0.35294,0.33741,0.79954,0.00108913,0.00108913,0.00108913
15,500.119,0.43258,0.4029,0.79983,0.86603,0.95874,0.95781,0.9085,0.35021,0.30979,0.79617,0.00107675,0.00107675,0.00107675
16,533.308,0.4168,0.39194,0.79625,0.87632,0.91815,0.94236,0.89819,0.36048,0.32695,0.7968,0.00106437,0.00106437,0.00106437
17,566.595,0.42473,0.39085,0.80074,0.88262,0.92331,0.95104,0.91408,0.34234,0.31989,0.79867,0.001052,0.001052,0.001052
18,599.944,0.41985,0.37664,0.79826,0.86295,0.91764,0.93893,0.8925,0.35638,0.32898,0.79872,0.00103962,0.00103962,0.00103962
19,634.323,0.40311,0.36809,0.79726,0.8586,0.9685,0.94682,0.91221,0.32203,0.29405,0.7918,0.00102725,0.00102725,0.00102725
20,667.73,0.39703,0.3617,0.79727,0.88847,0.95257,0.95823,0.9103,0.33951,0.30049,0.79511,0.00101488,0.00101488,0.00101488
21,701.74,0.39711,0.35726,0.79643,0.85919,0.90575,0.93902,0.91301,0.32146,0.30852,0.79533,0.0010025,0.0010025,0.0010025
22,735.975,0.39971,0.36118,0.79802,0.88744,0.9148,0.95451,0.91919,0.33452,0.31081,0.79507,0.000990125,0.000990125,0.000990125
23,770.154,0.39078,0.35099,0.79462,0.90309,0.89831,0.94996,0.91652,0.3325,0.30658,0.79407,0.00097775,0.00097775,0.00097775
24,803.748,0.38502,0.3394,0.79739,0.88836,0.92177,0.94613,0.91154,0.31681,0.29973,0.79174,0.000965375,0.000965375,0.000965375
25,837.662,0.38183,0.34164,0.79456,0.87765,0.93804,0.94108,0.90431,0.31421,0.29714,0.7946,0.000953,0.000953,0.000953
26,871.126,0.39015,0.34802,0.79662,0.86317,0.9398,0.93359,0.8984,0.30495,0.31403,0.79632,0.000940625,0.000940625,0.000940625
27,905.373,0.36911,0.33323,0.79329,0.91896,0.88975,0.95082,0.91543,0.31834,0.29642,0.79714,0.00092825,0.00092825,0.00092825
28,939.629,0.38069,0.33991,0.79452,0.87303,0.93006,0.95554,0.92072,0.30289,0.2884,0.79668,0.000915875,0.000915875,0.000915875
29,976.149,0.37475,0.33218,0.79505,0.86763,0.88492,0.93779,0.89901,0.29667,0.29175,0.79373,0.0009035,0.0009035,0.0009035
30,1010.38,0.3627,0.32183,0.79299,0.91339,0.91828,0.95823,0.93058,0.3028,0.30874,0.79367,0.000891125,0.000891125,0.000891125
31,1044.76,0.37063,0.33016,0.79331,0.89848,0.93636,0.96715,0.93378,0.29492,0.29118,0.79398,0.00087875,0.00087875,0.00087875
32,1079.01,0.3728,0.32728,0.79525,0.8478,0.93155,0.94615,0.92314,0.30128,0.29231,0.7945,0.000866375,0.000866375,0.000866375
33,1112.76,0.3592,0.31076,0.79182,0.87191,0.9223,0.94743,0.90501,0.29497,0.29324,0.79131,0.000854,0.000854,0.000854
34,1147.25,0.35926,0.31834,0.78997,0.87599,0.96346,0.95666,0.93035,0.29786,0.28018,0.79219,0.000841625,0.000841625,0.000841625
35,1181.13,0.35588,0.31188,0.79542,0.91538,0.89432,0.9598,0.92594,0.28737,0.28926,0.7922,0.00082925,0.00082925,0.00082925
36,1214.83,0.35636,0.30619,0.79355,0.85627,0.91915,0.94877,0.9233,0.28092,0.28323,0.79453,0.000816875,0.000816875,0.000816875
37,1249.58,0.34705,0.2957,0.79249,0.88652,0.91728,0.95867,0.92973,0.29348,0.29601,0.79289,0.0008045,0.0008045,0.0008045
38,1284.23,0.35803,0.31164,0.79039,0.89547,0.92726,0.96106,0.93448,0.3127,0.29047,0.79261,0.000792125,0.000792125,0.000792125
39,1318.93,0.35448,0.30848,0.78975,0.86777,0.90923,0.941,0.91624,0.27508,0.27344,0.79065,0.00077975,0.00077975,0.00077975
40,1352.77,0.34873,0.30042,0.7912,0.84672,0.92659,0.94,0.90832,0.29408,0.30889,0.79298,0.000767375,0.000767375,0.000767375
41,1386.7,0.34235,0.29211,0.7891,0.87851,0.92934,0.94933,0.91578,0.29971,0.29412,0.79163,0.000755,0.000755,0.000755
42,1420.69,0.33418,0.28666,0.78928,0.9301,0.88278,0.95663,0.93504,0.26978,0.26878,0.79324,0.000742625,0.000742625,0.000742625
43,1455.68,0.3362,0.28567,0.79014,0.91748,0.89001,0.95541,0.93193,0.29536,0.28149,0.78996,0.00073025,0.00073025,0.00073025
44,1489.52,0.332,0.28031,0.78744,0.86719,0.91986,0.95255,0.9306,0.27448,0.28053,0.78967,0.000717875,0.000717875,0.000717875
45,1523.95,0.33874,0.28723,0.78778,0.87693,0.92441,0.95346,0.92572,0.26572,0.28195,0.78856,0.0007055,0.0007055,0.0007055
46,1557.99,0.32315,0.27314,0.78628,0.87019,0.95833,0.95966,0.93378,0.28098,0.27802,0.79092,0.000693125,0.000693125,0.000693125
