epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2648,1.44863,3.97346,1.15136,0.0062,0.3029,0.00972,0.00308,1.14373,3.75823,0.97297,0.0001625,0.0001625,0.0001625
2,31.8701,1.35137,3.61279,1.1144,0.00983,0.52853,0.03045,0.00814,1.39434,3.75716,1.03557,0.000330818,0.000330818,0.000330818
3,37.3832,1.23217,3.08835,1.06558,0.01138,0.68759,0.1467,0.07578,1.11758,3.53575,0.93746,0.000492205,0.000492205,0.000492205
4,42.9968,1.29892,2.45997,1.12573,0.01135,0.71939,0.16447,0.07636,1.12465,3.45674,0.97647,0.000646662,0.000646662,0.000646662
5,48.7422,1.30235,2.16303,1.11087,0.0824,0.40719,0.20529,0.09243,1.09978,3.24455,0.98963,0.00079419,0.00079419,0.00079419
6,54.3534,1.25423,1.93817,1.13834,0.67751,0.1483,0.35236,0.19072,1.12514,2.82227,1.04669,0.000934788,0.000934788,0.000934788
7,60.0665,1.26213,1.71902,1.1186,0.97001,0.11392,0.39651,0.24653,1.13443,2.52721,1.07368,0.00106846,0.00106846,0.00106846
8,65.6116,1.28922,1.6124,1.14845,0.95124,0.24799,0.42919,0.27465,1.24304,1.92883,1.15853,0.00107675,0.00107675,0.00107675
9,71.133,1.26702,1.55637,1.1556,0.92605,0.39914,0.45598,0.30259,1.18121,1.3776,1.14031,0.001052,0.001052,0.001052
10,76.8258,1.23025,1.4838,1.13245,0.91833,0.41823,0.45259,0.31458,1.14213,1.23323,1.10919,0.00102725,0.00102725,0.00102725
11,82.3478,1.22946,1.49815,1.09059,0.89965,0.42567,0.4725,0.32509,1.1473,1.23991,1.114,0.0010025,0.0010025,0.0010025
12,87.9705,1.20583,1.44276,1.10561,0.89857,0.40604,0.50934,0.34005,1.14979,1.35944,1.13033,0.00097775,0.00097775,0.00097775
13,93.7028,1.26174,1.50162,1.12526,0.94891,0.39044,0.52835,0.36277,1.1092,1.19666,1.09137,0.000953,0.000953,0.000953
14,99.2086,1.20086,1.44478,1.08075,0.94891,0.39044,0.52835,0.36277,1.1092,1.19666,1.09137,0.00092825,0.00092825,0.00092825
15,104.775,1.19585,1.32069,1.0851,0.76511,0.5108,0.57908,0.40183,1.07688,1.07717,1.0785,0.0009035,0.0009035,0.0009035
16,110.297,1.13432,1.2549,1.06678,0.81333,0.55644,0.5978,0.4128,1.09736,1.01991,1.09417,0.00087875,0.00087875,0.00087875
17,116.122,1.10788,1.25839,1.05597,0.84831,0.5903,0.61099,0.41976,1.13009,0.98966,1.10081,0.000854,0.000854,0.000854
18,121.695,1.16851,1.25115,1.09786,0.85946,0.57857,0.6185,0.4289,1.09563,0.94789,1.09071,0.00082925,0.00082925,0.00082925
19,127.199,1.09783,1.30815,1.07857,0.85208,0.60462,0.62605,0.44008,1.04372,0.98063,1.06608,0.0008045,0.0008045,0.0008045
20,132.829,1.13649,1.22035,1.03618,0.84927,0.5993,0.63057,0.44209,1.03646,0.99686,1.06252,0.00077975,0.00077975,0.00077975
21,138.457,1.1096,1.15522,1.03211,0.88042,0.60337,0.63489,0.44733,1.04652,0.96646,1.05615,0.000755,0.000755,0.000755
