epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.985,1.47143,4.18485,1.17533,0.00412,0.28206,0.00502,0.00181,1.17104,3.78254,0.98698,0.0001625,0.0001625,0.0001625
2,21.9631,1.28357,3.69911,1.11473,0.00997,0.55612,0.04043,0.01622,1.18339,3.70621,0.95466,0.000304088,0.000304088,0.000304088
3,24.9106,1.31629,3.1696,1.09279,0.01256,0.62008,0.20442,0.1094,1.10582,3.51598,0.92157,0.000411025,0.000411025,0.000411025
4,27.874,1.27136,2.51447,1.16656,0.01219,0.62008,0.29164,0.16889,1.13446,3.38577,0.94527,0.000483313,0.000483313,0.000483313
5,30.7333,1.30063,2.19063,1.16066,0.01225,0.55072,0.32526,0.19454,1.14991,3.17334,0.97548,0.00052095,0.00052095,0.00052095
6,33.7481,1.27343,1.95432,1.19947,0.519,0.37494,0.36486,0.22448,1.18193,2.80321,1.02797,0.000523937,0.000523937,0.000523937
7,36.5906,1.27655,1.81503,1.18178,0.92628,0.22415,0.38675,0.25379,1.19933,2.34218,1.04734,0.000492275,0.000492275,0.000492275
8,39.5663,1.19619,1.74143,1.11726,0.83426,0.35771,0.40714,0.2806,1.16577,1.89411,1.06241,0.00038375,0.00038375,0.00038375
9,42.628,1.27845,1.66028,1.15511,0.87555,0.32847,0.41003,0.28267,1.15633,1.70004,1.08379,0.00026,0.00026,0.00026
10,45.7146,1.19495,1.69815,1.12752,0.92577,0.34628,0.42003,0.28763,1.15356,1.47288,1.09711,0.00013625,0.00013625,0.00013625
